"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"@FridolinaRolfo Scoring: A Series. 🇸🇪

#BeyondGreatness #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CwHrN3dvm5L/","274","It was a international, professional kick 😍😍","44647","2023-08-19T08:44:42.000Z",
"What it means to reach your first #FIFAWWC Final! 🇪🇸🙌","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv9vBNQNeli/","244","👏❤️😍⚘️","44004","2023-08-15T12:06:45.000Z",
"#FIFAWorldCup 🥈  🥉 🥉
#FIFAWWC 🥈 🥉 🥉 🥉 ❓ 

In 1994, @SvenskFotboll were  🔥","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CwGB3kwoxGb/","100","Best commentator ever, forgot his name? Anyone know?","39037","2023-08-18T17:31:36.000Z",
"Russo and Hemp are a ruthless duo. 🔥

Will they team up again for England in the #FIFAWWC Semi-Finals? 🦁","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv-jAUvMiYT/","79","Fifa easy mode","22570","2023-08-15T19:41:01.000Z",
"The game runs through them. 🎼🪄

Who is your favourite midfield maestro?

See them all star at the #FIFAWorldCup on FIFA+","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv-1BQPpIzv/","106","درود بر زیزو و لوکالیتو","18742","2023-08-15T22:22:25.000Z",
"David Beckham understood the assignment. 😮‍💨

Which @Lionesses star will step into the spotlight in their #FIFAWWC Semi-Final? 🏴󠁧󠁢󠁥󠁮󠁧󠁿","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv_w3agtLXE/","630","Fue un golazo en todo caso","394921","2023-08-16T07:00:22.000Z",
"SPAIN ARE HEADING TO THE #FIFAWWC FINAL! 🇪🇸🔥","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv9hRUQtpYt/","1392","Ir was beautiful watching you play congratulations 👏👏👏","101587","2023-08-15T10:05:23.000Z",
"𝑰𝒄𝒆 𝒊𝒏 𝒉𝒆𝒓 𝒗𝒆𝒊𝒏𝒔. 🧊","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv9lie7NgHD/","190","99 de tiro pai","39852","2023-08-15T10:42:41.000Z",
"Cahill shone brightest in green and gold.  🥊 🦘 

Will one of @TheMatildas fire her way into the history books in their #FIFAWWC Semi-Final?","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv-qajcP-F3/","74","چه گلای قشنگی زد","38527","2023-08-15T20:49:16.000Z",
"The #FIFAWWC Final! ✨

Who will lift the trophy on Sunday? 🏆","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CwAXC_2NOfZ/","1000","Vasco world champion against Real Madrid in 1957","110148","2023-08-16T12:33:46.000Z",
"Jay-Jay Okocha was a problem. 🌪️

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv8a64kgIHd/","368","stay with my profile now ❤️","107807","2023-08-15T00:03:38.000Z",
"Records are meant to be broken. 📈👊

Relive every moment from Qatar 2022 on FIFA+!","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv-fZbQLu1s/","270","❤️🙌🔥👏😢😍😮😂","268857","2023-08-15T19:08:20.000Z",
"Two games, two goals, too good.🇪🇸 @salmaparalluelo smashes the ball into the back of the net to kick off DRAMATIC last minutes and send La Roja to the #FIFAWWC Final! The #TeamVisa member's immediate impact and clutch finish earns her the #VisaPlayerOfTheMatch trophy and the chance for Spain to DREAM of winning their first-ever Women's World Cup. 🚀 
How breathless were you after this match?! 😮‍💨⬇️

Inspired by her performance, Visa will be sending a grant to a small woman-owned business in Spain!","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv9nHpttRPA/","181","😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂","24130","2023-08-15T10:56:30.000Z",
"Hemp 🤝 Russo

Making history. 🏴󠁧󠁢󠁥󠁮󠁧󠁿

#FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CwAj-sxNw9O/","260","0❤️🔥🔥🔥🔥🔥🔥😍2❤️🤍🤍🤍🤍🤍🤍🤍😂","76774","2023-08-16T14:26:47.000Z",
"@JuliaanAlvarez picking out the top corner? La Araña things. 🕷️📐

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CwI4li5IP0g/","301","@aanapau99 mano julian","199332","2023-08-19T20:11:35.000Z",
"One last hurdle before the final. 👀⏳

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv8cADxNP-A/","126","Vai ser que horas no horário do Brasil?","23360","2023-08-15T00:00:06.000Z",
"The European Champs are coming for all the trophies! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏆 

#FIFAWWC #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CwAUmM-NQ5e/","242","❤️","66108","2023-08-16T12:12:22.000Z",
"Bringing that La Tri passion to West London. 🇪🇨😤

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv7yIe0p-6g/","393","😍🇪🇨","197656","2023-08-14T17:58:20.000Z",
"Which team will become #FIFAWWC champions for the first time? 🤩","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv6WimMPy6-/","233","MATILDAS🔛🔝","40083","2023-08-14T04:33:54.000Z",
"Inspired by the sunsets of the Sydney skyline, introducing the OCEAUNZ Final Pro Official Match Ball for the final stages of the FIFA Women’s World Cup Australia and New Zealand 2023! 🌅 

#FIFAWWC #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv55fHPg8WG/","62","👏👏👏","29081","2023-08-14T00:22:54.000Z",
"Tricky Emil Forsberg 😮‍💨🇸🇪

#FIFAWorldCup #Sweden #Forsberg","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv7exZlIfvy/","97","Song?","78351","2023-08-14T15:12:23.000Z",
"One of football's greatest magicians 🪄

So good they named him twice, Happy 50th Birthday Jay-Jay Okocha! 🇳🇬🎂","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv7DAYOIRPs/","938","Legend","135338","2023-08-14T11:02:27.000Z",
"First touch goals. 🤤🇧🇷

@neymarjr is taking his talents to Riyadh.","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv-PNsuoU98/","2793","Até a FIFA acha que falamos Espanhol kkkkkk","1864554","2023-08-15T16:47:49.000Z",
"🏴󠁧󠁢󠁥󠁮󠁧󠁿 @lauren_hemp seals England's place in their first-ever #FIFAWWC Final and claims a well-deserved #VisaPlayerOfTheMatch trophy! 🏆 Her endless energy running the channels and composed no-look assist complete a perfect forward's performance to set up a final against Spain! Can England go all the way on Sunday? ⬇️🏴󠁧󠁢󠁥󠁮󠁧󠁿

Inspired by her performance, @visa will be sending a grant to a small woman-owned business in England!","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CwAaSwaN_K9/","225","❤️ Nice smile very sweet and atractiv beautiful ❤️❤️","24595","2023-08-16T13:02:08.000Z",
"Blanco 🔗 Borgetti, an all-time #FIFAWorldCup link-up. 🏹

#HBD | @borgetti58","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv75_mpOjif/","561","Still trash 🥱","94666","2023-08-14T19:52:16.000Z",
"Carles Puyol called game in the 2010 #FIFAWorldCup Semi-Final. 🇪🇸🛫

Who will be @SEFutbolFem’s hero v Sweden? #FIFAWWC","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv8KPjCA1Tl/","224","Spanish Air Force!!!","176170","2023-08-14T21:47:12.000Z",
"Stina Blackstenius = Big game player. 😎🔥

Will she be the difference for Sweden in the Semi-Final? 🇸🇪

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv5d2IhMQKG/","177","What a pass!","35380","2023-08-13T20:20:10.000Z",
"Putting in the work. 💪🇪🇸

Will Spain be the one to lift the #FIFAWWC trophy?","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv8CyTVPo0Q/","55","Spain for the Final","30480","2023-08-14T20:19:46.000Z",
"The #FIFAWorldCup Semi-finals were special! ✨🔥 Who will be the two teams heading to the #FIFAWWC Final? 👀 

#Argentina #France #Croatia #Morocco","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv7RL-II6rb/","291","😍","85078","2023-08-14T13:10:41.000Z",
"The magic moment. 💫🇪🇸

@SEFutbolFem | #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv5k4tsvZnk/","48","❤️🙌👏😍","31942","2023-08-13T21:20:01.000Z",
"Scoring big goals in big moments...

Definitely a Salma Paralluelo thing! 🔥🇪🇸

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv9e5vQNF_m/","291","Jai Hind sir","50041","2023-08-15T09:44:42.000Z",
"O 🇵🇹@cristiano já marcou em 22 épocas consecutivas. 
Uma conquista incrível por um grande jogador.

🇵🇹 @cristiano has now scored in 22 straight seasons. 

An incredible achievement by a great player 👏","Gianni Infantino - FIFA President","gianni_infantino","https://www.instagram.com/p/Cv4yo3PP2oQ/","0","","1137341","2023-08-13T14:00:57.000Z",
"Top drawer #FIFAWorldCup free kicks! 🎯

See all the best World Cup free kicks in history on FIFA+!","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv4fINWIYVD/","553","siiii","137289","2023-08-13T11:09:44.000Z",
"The bright lights don’t faze him 🌟","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv24q-SoQ5A/","92","⁵🔥","67201","2023-08-12T20:15:11.000Z",
"🔥 Moments before the battle... 

📱💻📺 See all the best moments from Qatar 2022 on FIFA+ for FREE!

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv2bfW2ID8e/","403","Sigan mi cuenta porfa","118948","2023-08-12T16:00:12.000Z",
"🌟 2019: Starred at the #U20WC
 💪  2022: Played in every 🇰🇷 #FIFAWorldCup game
🇫🇷 2023: Set for Luis Enrique's new era at PSG

A big year to come for Lee Kangin?","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv2ly2Hoy8Z/","125","이강인 최고!❤️🔥","89930","2023-08-12T17:30:14.000Z",
"Lion-Lessi-es! 🦁 @alessiarusso99's second-half touch, turn and bottom-corner finish fires England into the semi-final of the #FIFAWWC! Her #VisaPlayerOfTheMatch performance will see the European Champions face the home-nation Matildas for a spot in the Final! Who comes out on top?! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🆚🇦🇺⬇️

Inspired by her performance, Visa will be sending a grant to a small woman-owned business in England!","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv2K8A3tu_R/","108","🔥🔥🔥🔥🔥","20965","2023-08-12T13:35:33.000Z",
"The Lionesses roar their way into The final four! 🦁👏

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv2EDTcNbf-/","827","AAAAAAAAAAA gritó desenfrenadamente, felicidades a españa, lo lograron ♥️✨🇪🇸","60393","2023-08-12T12:35:23.000Z",
"MATILDAS' SAVIOUR! 🧤 
@mackenziearnold claims #VisaPlayerOfTheMatch in navigating one of the MOST dramatic #FIFAWWC penalty shootouts ever, alongside her rock-solid 120-minute clean sheet to send Australia through to the semi-finals! Have you got your breath back yet?! ⬇️🤯","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv18yj8vOdF/","205","@halimabalfkier no words cuz u can’t properly speak fluent English to even roast a french boy","25728","2023-08-12T11:31:56.000Z",
"Friendship like this. ❤️

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv4sRaEtMdx/","32","@horchata168 us when you score","23123","2023-08-13T13:05:19.000Z",
"𝑻𝑾𝑬𝑵𝑻𝒀! 🤯

The longest-ever penalty shootout at any #FIFAWWC or #FIFAWorldCup! 👏","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv2Kpo2PCpS/","286","Nice collage.... That was a tough match","98602","2023-08-12T13:33:03.000Z",
"Will Colombia provide some more World Cup drama against England? 🇨🇴😯 

#FIFAWorldCup #FIFAWWC","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv0TXFKNZGA/","378","🇨🇴","95182","2023-08-11T20:20:20.000Z",
"🏆🏆🏆🏆 @juliaanalvarez has won BIG in the last 9 months... 

What will the new season bring?","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv0BlUYsTAc/","642","E p i c o","210144","2023-08-11T17:36:07.000Z",
"Mark your calendars for 15 August. 🗓
Our first #FIFAWWC Semi-Final is going to be a big one. 🔥","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv0DydqrN1-/","403","so what time will it be in england","43729","2023-08-11T17:54:36.000Z",
"Things we love to see ✨ Round-of-16 POTM @zeciramusovic was TOO excited to surprise @amandailestedt with her third #VisaPlayerOfTheMatch trophy! Two members of the toughest defence at the #FIFAWWC being that wholesome - this tournament has it ALL 🥺❣","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvzwKWstIeU/","95","Love you 😍","35166","2023-08-11T15:05:57.000Z",
"🇦🇺 @matildas reach the #FIFAWWC  Semi-Finals for the very first time! 🙌","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv1zsATtG38/","937","Australia 🇦🇺🇦🇺🇦🇺","75590","2023-08-12T10:12:24.000Z",
"France put on a finishing clinic against Australia in 2022. 👨‍🏫

Who comes out on top in the #FIFAWWC Quarter-Finals? 🇦🇺🆚🇫🇷","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv0BnoZpQ9t/","107","🇨🇵🇨🇵🇨🇵","57360","2023-08-11T17:48:35.000Z",
"A new stage to shine on for Jude. 🏴󠁧󠁢󠁥󠁮󠁧󠁿💫

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv2wuuroQdq/","650","گاییدی بابا بکش بیرون🤣😐","91126","2023-08-12T19:06:00.000Z",
"A new chapter begins for one of @england’s greatest goalscorers! 🏴󠁧󠁢󠁥󠁮󠁧󠁿📚

#FIFAWorldCup #HarryKane #England","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv1mWavoDYf/","228","name song","225454","2023-08-12T08:20:00.000Z",
"The moment everyone was waiting for. 🫶

Watch the highlights on FIFA+!

#FIFAWWC #BeyondGreatness","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvzcXRsvxcm/","124","Who tf is that?","46802","2023-08-11T12:10:00.000Z",
"Filippa Angeldal doubles Sweden's lead from the spot! 🇸🇪

#FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvzE4l0t5J8/","235","@viggo_ni they aren’t. No nation is close to USA accomplishments 😂","36099","2023-08-11T08:44:56.000Z",
"Japan are back in the game! 🇯🇵

Can they get an equaliser? 

#FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvzIydzt7sZ/","208","😑😑","33465","2023-08-11T09:19:03.000Z",
"¡Salma salva a España! 🇪🇸🔥

The #TeamVisa member came on and immediately made an impact. With her pace, tireless runs and clinical finish, she decided one of the most contested matches of this #FIFAWWC! 

Take a bow, @salmaparalluelo, your #VisaPlayerOfTheMatch !🏆 

Inspired by her performance, Visa will be sending a grant to a small woman-owned business in Spain!","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvym-90PIqm/","138","Biggest goal of the tournament so far","24470","2023-08-11T04:23:40.000Z",
"Sweden have the lead at the break! 🇸🇪

Amanda Ilestedt's fourth of the 2023 #FIFAWWC! ✨️","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvzCoAUL3PT/","76","👏","37025","2023-08-11T08:25:12.000Z",
"Will the Mac Man produce moments like this for Merseyside? 🇦🇷🔴 

#FIFAWorldCup #Argentina #MacAllister","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv4wFp0I4iz/","271","La locura es total","209337","2023-08-13T13:43:05.000Z",
"Australia and England will meet in the Semi-Finals! 💪","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv2FLSDPf0q/","266","England in the power","30578","2023-08-12T12:45:13.000Z",
"Clash of the unexpected titans?! 💥✨

We are about to witness the best striker facing the stand-out keeper of the #FIFAWWC, so far. Hinata Miyazawa’s Japan v. @ZeciraMusovic’s Sweden! 

#VisaPlayerOfTheMatch","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvyErikMPml/","125","🇮🇷🇮🇷🇮🇷🇮🇷","33841","2023-08-10T23:26:10.000Z",
"England know how to get it done against Colombia! 🔥

#FIFAWorldCup #England #Colombia","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv2QJdAIvPr/","328","Ese sin dudas fue el mejor partido de rusia 2018","82440","2023-08-12T14:31:22.000Z",
"How do the last eight teams at the #FIFAWWC compare? Swipe to find out. ➡️😎

🇦🇺🇨🇴🏴󠁧󠁢󠁥󠁮󠁧󠁿🇫🇷 🇯🇵🇳🇱🇪🇸🇸🇪 | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvxljlHOZ22/","155","@mar_cyln Colombia but they lost 😭","36831","2023-08-10T18:51:57.000Z",
"Andres Iniesta. 116th minute. You know the rest. ⚽️➡️🏆

Will we see another Spain hero emerge in the #FIFAWWC Quarter-Final?","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cvx9_Z5vRYL/","988","😍😍","476075","2023-08-10T22:25:43.000Z",
"REDEMPTION. 👊

Stefanie van der Gragt equalises! 

#BeyondGreatness #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvyc-BYv0Qz/","157","Opbokke","37442","2023-08-11T02:56:09.000Z",
"Jumping into the Semi-Finals. 🕴🇸🇪","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvzLiXttZZM/","160","cool float","31509","2023-08-11T09:43:04.000Z",
"We're back and ready to rock! 😎🔥

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvyCoXcL3Q2/","175","@garconpetit that's even a cheat to the Africans😢","24039","2023-08-10T23:06:00.000Z",
"MARIONA CALDENTEY from the spot! 📍

🇪🇸 have a maiden Semi-Finals berth in their sights!

 #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvyb5KHPiGG/","101","El mejor equipo del campeonato después las colombianas 🇨🇴💪🏾⚽️💃🏿","36050","2023-08-11T02:46:45.000Z",
"Come back stronger, Thibaut 💪🇧🇪","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvxH9pXNfb7/","127","It s a yellow wall","64047","2023-08-10T14:33:18.000Z",
"𝑬𝒍 𝑻𝒓𝒂𝒄𝒕𝒐𝒓 💫

A legend in Argentina and Italy, happy 50th Birthday, @javierzanetti! 🩵🤍🩵","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cvw9SuCo_Uq/","265","El verdadero Superman","164775","2023-08-10T13:00:08.000Z",
"It was delight for @OnsOranje against Spain in the 2014 #FIFAWorldCup.

What will 🇪🇸🆚🇳🇱 hold in the #FIFAWWC Quarter-final?","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvxjCyLumlE/","147","Uffff que equipazo tenía Holanda en ese mundial 🧡⚽👌🏿","60524","2023-08-10T18:31:47.000Z",
"Pele, Muller on fire 🔥 
Banks' save 🧤 
Brazil-liance in the Final 🇧🇷

Relive full matches and more from the iconic #FIFAWorldCup 1970 on FIFA+.","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvvF0oPtgn4/","35","🇵🇪","23711","2023-08-09T19:36:32.000Z",
"The #FIFAWorldCup QFs were a joy to behold! 🔥⚽️

What will the #FIFAWWC Quarter-finals have in store?","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cvwvmv3IA0z/","258","A casaaaaa","109307","2023-08-10T11:00:46.000Z",
"Angel Di Maria 𝙡𝙤𝙫𝙚𝙨 scoring in a final. 🫶

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvvhvL0g1QG/","1209","💥💥💥❤️❤️❤️🔥🔥🔥","452886","2023-08-09T23:49:41.000Z",
"The world loves football because we all feel it ❤️💔 

Relive every second of #Qatar2022 drama on FIFA+ now!","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv5DvgMKzTo/","1217","🔥🔥🔥🔥","180350","2023-08-13T16:30:25.000Z",
"The time has come. Who will round out the final four? ⏳ 

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cv0uhUCt_2c/","422","ITALYYY ah no scusate","29045","2023-08-12T00:08:00.000Z",
"So hyped for the #FIFAWWC quarter finals! 🤩🏆🔥
The #VisaPlayerOfTheMatch winners have made giants stumble, written history and dominated the pitch. 🌟 

Tell us your craziest prediction for the upcoming matches in the comments! ⬇️","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvxajm6OO43/","64","Bonmati🇪🇦","24292","2023-08-10T17:17:04.000Z",
"Who was your favourite player from #Qatar2022? 🤩","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvuKwvcou82/","8490","","369335","2023-08-09T11:00:06.000Z",
"What a tournament it’s been so far… 🙌 Quarter-finals, let’s go! 🤩 

#FIFAWWC #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvwkYxiNGEL/","42","Ela é de mais ❤️","16358","2023-08-10T09:29:17.000Z",
"Croatia 🇭🇷🤝🏅 #FIFAWorldCup medals

Relive how another generation of Vatreni stars earned legendary status in 'A Nation's Story' on FIFA+.","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cvu1I8jRgaP/","113","Little country with big heart 🙌❤️ Luka and team deserve gold 🥇","48211","2023-08-09T17:10:40.000Z",
"Breathtaking moments. 😍

🎥 Watch all the best #FIFAWWC highlights on FIFA+ now!","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvu8dFOvrSa/","36","Infinity football match","20246","2023-08-09T18:15:44.000Z",
"Phil Foden + Bukayo Saka = poetry in motion. 🎥💫

What will be the magic link-up for the @Lionesses v Colombia? #FIFAWWC","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cv0mRSQNan1/","133","Sigan mi cuenta porfa","119433","2023-08-11T23:10:54.000Z",
"Proud. 🫶

What a maiden #FIFAWWC for @equipedumaroc.

#BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvr02envt9z/","1139","@redouani_zineb Bent ba mekna","111047","2023-08-08T13:10:09.000Z",
"Goalscorers united. 🫂

Three shots on 🎯 equalling three goals means France take a comfortable lead into the break!

#BeyondGreatness #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvrsGxxvy70/","298","🙏🙏🙏🙏🙏🙏🙏✍️✍️✍️✍️✍️✍️✍️🚜🚜🚜🚜😘😘✍️✍️✍️✍️✍️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜","19423","2023-08-08T11:53:44.000Z",
"The story was blown right off the page when @asatakugram did this! 🇯🇵📖

What does the next chapter hold for the Nadeshiko in the #FIFAWWC? 👀","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvwbEtgo7K7/","139","Hansi Flick? Was ist das?","69379","2023-08-10T08:01:21.000Z",
"…and then there were eight! 🔜

#FIFAWWC #BeyondGreatness","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvtombnvYhS/","113","Colombia 😍👏🇨🇴💛💙❤️","27747","2023-08-09T06:01:35.000Z",
"Japan left their mark on the 2022 #FIFAWorldCup. 🇯🇵✨

Watch every goal in the FIFA+ Archive.","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvsljEuPURP/","173","Much respect from 🇨🇷","42743","2023-08-08T20:15:41.000Z",
"Some beautiful team play capped off by a beautiful goal. ✨

Kadidiatou Diani adds to her #FIFAWWC goal tally!","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvrohlBvGPj/","280","👏","24170","2023-08-08T11:22:27.000Z",
"A FOUR-midable France performance. 👏

Le Sommer has a brace to her name! 

#BeyondGreatness #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvrwvT8P4z_/","469","❤️🙌","29446","2023-08-08T12:34:14.000Z",
"When you catch it perfectly on the volley... ☄️😮‍💨

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvscFbuMrVg/","250","","54174","2023-08-08T19:05:09.000Z",
"©️aptain Modric. 🙌 

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cvsxw09pEiR/","246","😢","178504","2023-08-08T22:02:28.000Z",
"Andres ‘Class is Permanent’ Iniesta. 🇪🇸✨","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cvt9XHnI3Eq/","247","🔥🔥","59700","2023-08-09T09:03:32.000Z",
"Switching Lisbon for Paris 🔵🔴

Gonçalo Ramos knows how to grasp the big opportunity! 🎩","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvsDCaYIhmj/","179","","49241","2023-08-08T15:21:48.000Z",
"Shining for their nations ✨","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvsPDtbIO1p/","507","🇲🇦","35978","2023-08-08T16:59:09.000Z",
"@els_9_france makes it trois! 🇫🇷

Les Bleues are pushing for that Quarter-Finals spot!

#BeyondGreatness #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvrps4Xv4ae/","787","Wonderful know","77940","2023-08-08T11:32:44.000Z",
"#FIFAWWC 2023 has had it all. 🤩

Watch all match highlights on FIFA+! 🙌","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvqzyXsvWvL/","76","❤️❤️❤️🙌🙌🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦","28106","2023-08-08T03:42:22.000Z",
"At the #FIFAWorldCup, it was Youssef En-Nesyri. ✈️🇲🇦

Which Morocco star will rise to the occasion in the #FIFAWWC Round of 16?","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CvqYXVpJsxp/","1308","Dima maghrib 🇲🇦 ❤️ 👑 🇲🇦","218735","2023-08-07T23:52:01.000Z",
"☝️🖐️  Six #FIFAWWC's
🇳🇬  One Super Falcons legend

Onome Ebi is an icon.","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvpmM9ONXl4/","173","The living Legend 🔥","39013","2023-08-07T16:23:40.000Z",
"The reigning European champions continue their quest for global glory. 🏴󠁧󠁢󠁥󠁮󠁧󠁿🦁

#FIFAWWC | #BeyondGreatness","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cvp96O6sx3N/","148","❤️❤️❤️❤️❤️","30610","2023-08-07T19:51:17.000Z",
"VAMOS captain! 🫡

Catalina Usme gives 🇨🇴 the lead!

#BeyondGreatness #FIFAWWC","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/CvraTAkP4FC/","522","🔥","85108","2023-08-08T09:18:07.000Z",
