,,Unnamed: 0,id,likesCount,ownerProfilePicUrl,ownerUsername,postUrl,text,timestamp,language,word count,emoji count,emoji list,emoji pattern list
1,309,40627,18328544974050021,0,https://instagram.fjed2-1.fna.fbcdn.net/v/t51.2885-19/376278309_3457180157865577_3823380274630006046_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fjed2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=dKecmsYxDp8AX_dnUKL&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBWTOB9BMvGjonv7SjaZ8-W1eSEB50xC_lsl9Vb_Mk7HQ&oe=6523DB20&_nc_sid=2999b8,karla_lombeida,https://www.instagram.com/p/ClMUO2ILcrL/,We are ready!!! 💛💙❤️,2022-11-21,en,4,3,"['💛', '💙', '❤']",['💛💙❤']
1,220,20163,17878499774775029,1,https://instagram.flas1-2.fna.fbcdn.net/v/t51.2885-19/371453571_3747400435541477_4333713273727864103_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.flas1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=4KpPtYWNoZwAX-EnqpB&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDvr282FrQ4Qw7qg89P9LUrMsys4ke9aN2gTi3YJpk69Q&oe=65235CDB&_nc_sid=2999b8,wax_sheng,https://www.instagram.com/p/ClLKjNtKgvW/,Let's goooooo🔥🔥🔥🔥 my favorite team !! Win champion 🏆🇧🇪🇧🇪🇧🇪,2022-11-21,en,9,5,"['🔥', '🔥', '🔥', '🔥', '🏆']",['🔥🔥🔥🔥']
1,76,20760,17974065847759964,0,https://instagram.famd6-2.fna.fbcdn.net/v/t51.2885-19/375568076_273182852240911_5973726898255703203_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.famd6-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=dQTlMVhDe4gAX-U9neq&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfB5_ecXh5SlZTNvew9zip9LArs3tFbnZrXZGFHirUX4nQ&oe=652419BB&_nc_sid=2999b8,kailmichelle,https://www.instagram.com/p/ClLiftGtMx9/,@carlos_arte24 no se porque but I love the jersey 🥶,2022-11-21,en,10,1,['🥶'],[]
1,333,19841,17932711292443636,0,https://instagram.faqb1-1.fna.fbcdn.net/v/t51.2885-19/354478833_864644605006924_5231417229365313972_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.faqb1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=k_DOe0eR5RkAX80KETF&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfC-nKtl7KcND7jXHSQFHZkLmDeP32NzGzpVkWo7z9vbHw&oe=6523C2C3&_nc_sid=2999b8,kazeohada,https://www.instagram.com/p/ClLYUYBri2H/,"@fatenalshoubaki respecting cultures goes both ways, i won't invite a muslim man to my house and force him to eat pork because ""it's in my culture to eat pork"", both hosts and guests should be able to respect eachother 👍",2022-11-21,en,40,1,['👍'],[]
1,343,38868,17965082435048883,0,https://instagram.fsrg6-1.fna.fbcdn.net/v/t51.2885-19/343258443_900556781227127_3696028726343116384_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsrg6-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=lWR2KLp1twMAX-2hrnk&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDUf8G_zFKJNVttFPw71_ozFcPSKhwWin872Ym8LbMCgg&oe=6523156C&_nc_sid=2999b8,analiarodriguezzzz,https://www.instagram.com/p/ClLfRPwMy6X/,Son🥺,2022-11-21,en,1,1,['🥺'],[]
1,277,39115,17899314005694258,0,https://instagram.fdxb1-1.fna.fbcdn.net/v/t51.2885-19/343304173_784409596331848_5363608985662874718_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fdxb1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=NzLjW9LhOOoAX_PYbBs&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCEfNJZ0pBAcvUgJGXECo626ih0R23FVnJMKUEaJUgcGg&oe=65244410&_nc_sid=2999b8,imsrikanth_goud,https://www.instagram.com/p/ClMjG6xL8cG/,Wil mis Mane on the field😢,2022-11-21,en,6,1,['😢'],[]
1,339,29985,17996286376567235,1,https://instagram.fpos1-1.fna.fbcdn.net/v/t51.2885-19/348870872_994957958162924_3376336101079231790_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fpos1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=QcsPDQgzW10AX8iPgMw&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCrKhxg33G3ypUfNTb6k_HQOI3TkApa3fYadhkttN0GwA&oe=65247189&_nc_sid=2999b8,ninamenac,https://www.instagram.com/p/ClMZnx2rBfk/,@faminohomie_quan notice how she didn’t even mention y’all’s rules 💀,2022-11-21,en,10,1,['💀'],[]
1,176,20160,17931062243551376,0,https://instagram.flas1-1.fna.fbcdn.net/v/t51.2885-19/288176780_500272891789138_2823891450047050146_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.flas1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=8nS7Zx81ErEAX_MrFtD&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAYv2ynq4Tc2U0RUIzMbYgPIvV3LRXxBMFngKBuGJLWCQ&oe=6523010A&_nc_sid=2999b8,naiemkholil,https://www.instagram.com/p/ClLKjNtKgvW/,I with you❤️,2022-11-21,en,3,1,['❤'],[]
1,115,37951,17971104670819104,0,https://instagram.fdac152-1.fna.fbcdn.net/v/t51.2885-19/361773921_718287390057961_1320744901804348552_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fdac152-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=gtcFW20xp1IAX-7OFfJ&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCoDqMkm_Vxkt9qsjBCJV_X9pvWnwRa7asRwfqPN6zXTg&oe=65232BB0&_nc_sid=2999b8,01jbroadhurst,https://www.instagram.com/p/ClMnml8JDlm/,"@weezy_bnzr lmao, your not getting out the group, stick to baseball 😭",2022-11-21,en,12,1,['😭'],[]
1,159,20555,17998188019515118,2,https://instagram.ftpf1-1.fna.fbcdn.net/v/t51.2885-19/89829995_2399149863709150_1491460610813067264_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpf1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=EMSlU4l2jgYAX_6mlpz&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCrB-D6QNxKKjKup3LJ7VnP9Xuhg4BZmKs2mlJIuQqwOA&oe=6523BF9A&_nc_sid=2999b8,sportech_il,https://www.instagram.com/p/ClLZMRVMAQQ/,@tomer_levy1 King of the 🌍! Thank you! Another Israeli's technology that make the world - a better place!,2022-11-21,en,18,1,['🌍'],[]
